Archivo, Precisión, TP, FP, Pruebas, Galería,Distancia umbral, Proporción mínima, área mínima, Espacio colores, mascara, modo,norma
OneLeaveShopReenter2cor.mpg,0.0,0,5,5,5,1200,2.0,3000,RGB,False,buscar,L1
OneShopOneWait1cor.mpg,0.0816326530612,4,45,49,5,1200,2.0,3000,RGB,False,buscar,L1
OneShopOneWait2cor.mpg,error,0,0,0,5,1200,2.0,3000,RGB,False,agregar,L1
EnterExitCrossingPaths1cor.mpg,error,0,0,0,2,1200,2.0,3000,RGB,False,buscar,L1
EnterExitCrossingPaths1cor.mpg,error,0,0,0,2,1200,2.0,3000,RGB,False,buscar,L1
EnterExitCrossingPaths1cor.mpg,0.0,0,2,2,2,1200,2.0,3000,RGB,False,buscar,L1
EnterExitCrossingPaths1cor.mpg,0.75,3,1,4,2,1200,2.0,3000,RGB,False,buscar,L1
EnterExitCrossingPaths1cor.mpg,error,0,0,0,2,1200,2.0,3000,RGB,False,agregar,L1
EnterExitCrossingPaths2cor.mpg,error,0,0,0,4,1200,2.0,3000,RGB,False,agregar,L1
OneLeaveShop1cor.mpg,error,0,0,0,4,1200,2.0,3000,RGB,False,buscar,L1
OneLeaveShop2cor.mpg,error,0,0,0,5,1200,2.0,3000,RGB,False,buscar,L1
OneLeaveShopReenter1cor.mpg,0.769230769231,10,3,13,5,1200,2.0,3000,RGB,False,buscar,L1
OneLeaveShopReenter2cor.mpg,0.2,1,4,5,5,1200,2.0,3000,RGB,False,buscar,L1
